year,bb.sockeye
1965,6.636561108
1966,6.446047455
1967,6.82096937
1968,7.316405806
1969,6.981546216
1970,6.383138811
1971,5.88156838
1972,6.134329817
1973,6.690091039
1974,6.7496816
1975,6.688231112
1976,6.996867849
1977,7.330994122
1978,7.375878349
1979,7.40829223
1980,7.179103219
1981,7.5725467
1982,7.392591022
1983,7.384141431
1984,7.197998439
1985,7.20598277
1986,7.145810171
1987,7.458415826
1988,7.524321643
1989,7.411976085
1990,7.503513899
1991,7.60705326
1992,7.546839289
1993,7.646097838
1994,7.47117809
1995,7.084907288
1996,7.001657056
1997,7.409257329
1998,7.310883723
1999,7.151709613
2000,7.028513018
2001,7.169249746
2002,7.419377405
2003,7.389559058
2004,7.454743589
2005,7.467269209
2006,7.443350573
2007,7.489951072
2008,7.45628278
2009,7.340042871
2010,7.31386722
2011,7.186855572
2012,7.464221466
