year,ndjfm.sst
1901,5.41169686
1902,4.696178842
1903,6.287157781
1904,3.816505884
1905,5.116327248
1906,5.616028292
1907,4.602292814
1908,4.595376799
1909,3.850208711
1910,3.776018328
1911,3.445321103
1912,5.240981989
1913,6.525824964
1914,5.029908176
1915,6.016877474
1916,4.590902509
1917,4.672163248
1918,4.276411853
1919,4.198814927
1920,5.191003484
1921,5.344306821
1922,4.801931593
1923,5.357710662
1924,5.232626082
1925,4.682496778
1926,6.384230997
1927,6.620436565
1928,5.153590132
1929,5.848603186
1930,5.883823689
1931,5.696059281
1932,5.301973939
1933,5.772284874
1934,5.526683428
1935,5.720308425
1936,6.37569495
1937,6.262900618
1938,5.553460663
1939,5.274957651
1940,5.530588327
1941,6.645897891
1942,6.940983868
1943,5.286755216
1944,5.786715179
1945,6.209570434
1946,5.293109041
1947,5.185016576
1948,4.482277541
1949,4.319974235
1950,5.305558765
1951,5.253002266
1952,5.311678945
1953,5.598875414
1954,5.374286638
1955,6.115822732
1956,5.317869381
1957,5.157875635
1958,6.758345024
1959,5.945231601
1960,6.051308148
1961,5.646317067
1962,5.556864017
1963,6.074620446
1964,6.168814038
1965,4.903141821
1966,5.458003983
1967,5.266054029
1968,5.590461515
1969,4.748068148
1970,6.030998914
1971,5.384247869
1972,4.467905151
1973,4.992193982
1974,4.940301637
1975,5.305608376
1976,4.955725462
1977,5.949125351
1978,5.275199631
1979,5.757219532
1980,5.853959591
1981,5.902112391
1982,5.775925667
1983,5.942574757
1984,6.314260831
1985,6.242099247
1986,5.572706145
1987,6.63312346
1988,6.170126904
1989,5.419172212
1990,5.555813344
1991,5.309410637
1992,5.95749505
1993,5.595282884
1994,6.315758442
1995,5.198328298
1996,5.468097892
1997,5.322592849
1998,6.484676594
1999,5.961888294
2000,5.219588186
2001,5.881076815
2002,5.202473173
2003,6.921829213
2004,5.783538315
2005,5.865300973
2006,5.672304923
2007,5.114193825
2008,5.045558016
2009,4.981764417
2010,5.778907674
2011,5.762268972
2012,4.949765523
2013,5.566496077
2014,6.173045807
2015,7.182601458
2016,6.862883958
2017,6.548054053
2018,6.126378189
2019,7.065753719
