year,cod.age0.R,SD
1977,825468,203175
1978,553645,146769
1979,559855,99066
1980,267150,45239
1981,148585,26326
1982,772190,88432
1983,201748,32837
1984,779242,85869
1985,286881,38806
1986,189896,28223
1987,106532,21604
1988,252215,34235
1989,608156,65443
1990,517445,55750
1991,332437,38600
1992,769721,73524
1993,317834,33722
1994,260675,28355
1995,240271,26926
1996,656826,65485
1997,299540,32544
1998,293149,30842
1999,600535,56944
2000,457627,44040
2001,206697,21754
2002,276764,27628
2003,234954,23554
2004,199734,20871
2005,264694,26978
2006,815063,77717
2007,357509,37854
2008,1108580,107114
2009,146002,20834
2010,671321,68503
2011,995183,104072
2012,443680,50392
2013,982145,105381
2014,175220,23225
2015,244408,29663
2016,157246,23261
2017,76186,22424
