"year","albsa.mam","albsa.djf"
1949,19.011,127.585
1950,-45.7936666666667,109.817
1951,-77.4003333333333,50.4406666666667
1952,24.0933333333333,67.949
1953,-64.2676666666667,-156.844666666667
1954,81.6903333333333,-13.734
1955,-1.57966666666667,50.319
1956,-18.7716666666667,84.5176666666667
1957,-9.75366666666667,69.7583333333333
1958,52.5256666666667,-146.288333333333
1959,-30.7053333333333,-30.215
1960,-67.342,-13.5576666666667
1961,-26.1293333333333,-128.652333333333
1962,53.454,52.362
1963,135.559333333333,-65.8923333333333
1964,109.542,-83.8583333333333
1965,80.7946666666667,-23.6993333333333
1966,-5.36033333333333,88.9886666666667
1967,200.880666666667,41.3016666666667
1968,-26.2603333333333,11.0293333333333
1969,-15.917,93.3426666666667
1970,-77.9096666666667,-196.029666666667
1971,-72.1183333333333,5.86466666666667
1972,11.374,53.7826666666667
1973,-87.229,71.6403333333333
1974,-74.9406666666667,-63.4766666666667
1975,-21.326,-31.5803333333333
1976,-6.86566666666667,-25.822
1977,31.8023333333333,-192.696
1978,-63.9786666666667,-44.1043333333333
1979,-24.4176666666667,78.5286666666667
1980,-122.954,-26.5026666666667
1981,-33.8106666666667,-127.297333333333
1982,51.0553333333333,30.6656666666667
1983,-94.5643333333333,-206.687666666667
1984,-82.9846666666667,-24.9326666666667
1985,0.678666666666665,10.0923333333333
1986,-18.2196666666667,-146.07
1987,-26.6356666666667,-85.1473333333333
1988,-123.026666666667,-48.8153333333333
1989,43.587,187.861666666667
1990,34.384,-41.583
1991,48.4533333333333,-33.6136666666667
1992,28.261,-70.8386666666667
1993,-106.243666666667,97.9333333333333
1994,-67.687,-85.9706666666667
1995,-33.5163333333333,-58.9876666666667
1996,40.8316666666667,11.789
1997,28.1946666666667,-91.92
1998,8.587,-193.244666666667
1999,-3.53433333333333,11.1903333333333
2000,-75.9363333333333,-49.7316666666667
2001,-32.5366666666667,-71.0903333333333
2002,116.588,-77.4576666666667
2003,32.6506666666667,-105.531
2004,12.001,-105.577
2005,-95.8163333333333,-17.042
2006,34.0043333333333,-38.321
2007,-55.7686666666667,-33.5973333333333
2008,-56.5126666666667,3.39833333333333
2009,52.917,87.0333333333333
2010,-63.2013333333333,-151.489
2011,-2.29333333333333,75.859
2012,-62.1193333333333,-28.3303333333333
2013,24.08,-81.4016666666667
2014,24.3546666666667,-45.5523333333333
2015,-1.70766666666667,-82.2103333333333
2016,-126.945,-188.929666666667
2017,-10.443,138.089666666667
2018,54.4496666666667,63.7823333333333
2019,-15.812,125.715333333333
