"","sst","sock","pink","chum","coho"
"1965",5.5465833346049,6.603911021,7.573634466,6.738900052,6.255585567
"1966",5.19741666913033,6.706782964,6.814279434,6.343529707,6.119437028
"1967",5.42470833328035,6.649479242,7.620673425,6.782063076,6.383465456
"1968",5.19465277658569,6.825245611,7.405430888,6.796757309,5.939598117
"1969",5.45088889069027,6.626795573,7.475936347,6.753436431,6.147925701
"1970",5.35356944219934,6.6009127,7.370658194,6.599321509,6.146619131
"1971",5.28090277281072,6.550413898,7.197096185,6.405420985,6.245659464
"1972",4.92613888283571,6.509494195,6.988996776,6.301395735,6.069809386
"1973",4.82290277928114,6.358761505,6.939495141,6.515418655,6.20306037
"1974",5.12169444925255,6.740905455,7.112234889,6.614615888,5.91490246
"1975",5.12326389087571,6.850680598,7.372641257,6.542280911,6.098705665
"1976",5.43451388875643,6.863285676,7.455335518,6.497130014,6.135918443
"1977",5.41498611039585,6.721206468,7.679263051,6.722449473,6.377037649
"1978",5.67063888510068,6.908300753,7.693913647,6.88094409,6.395288467
"1979",5.63362499740389,6.943671957,7.760126301,6.915044127,6.360335676
"1980",5.83056944641802,7.086129273,7.774261818,6.810809289,6.4251702
"1981",5.83300000561608,7.119522786,7.789811969,6.928418898,6.64533835
"1982",5.81287500593397,7.070913298,7.77998793,6.855113686,6.498094594
"1983",5.91115278237396,7.097458962,7.847553677,6.971011944,6.549117219
"1984",6.07615278032091,7.140457131,7.955847217,6.867586328,6.689670088
"1985",5.99520833260483,7.254801257,7.885163118,7.000989021,6.709922693
"1986",6.14558333158493,7.157276636,7.667284545,6.615401632,6.439753045
"1987",6.09906944135825,7.132637579,7.690548681,6.75069827,6.515198308
"1988",6.0520555516084,7.220508867,7.985942542,6.837137245,6.543528315
"1989",5.65719444519944,7.210303026,7.938991469,6.891369505,6.666125347
"1990",5.38579167094495,7.354686396,8.108342479,7.039988832,6.706988428
"1991",5.52219445440504,7.296910914,7.77387043,7.174737279,6.763450157
"1992",5.53463889128632,7.152819694,8.039906037,7.209347377,6.715594497
"1993",5.87787500321865,7.198362821,8.057309246,7.296081176,6.911803295
"1994",5.68486111429003,7.270598467,8.10799689,7.187772482,6.750495358
"1995",5.6648333410422,7.220386287,7.987924401,7.260904434,6.666568333
"1996",5.37556944953071,7.059386408,7.85666176,7.300392461,6.448017549
"1997",5.76693055397934,7.234351354,8.017569854,7.374032471,6.609689047
"1998",5.97037499646346,7.03862644,8.164566958,7.152727799,6.654438003
"1999",5.92500000231796,7.046553808,7.873070889,7.193722539,6.560226186
"2000",5.79206945167647,7.003817902,8.10666278,7.227894722,6.669229641
"2001",5.55359722607666,7.16427899,7.940836201,7.194215367,6.690827032
"2002",6.09038888712724,7.205683096,8.094212589,6.99204625,6.570613449
"2003",6.05009721716245,7.193231043,7.999342976,7.270483232,6.677047667
"2004",6.21640277571148,7.025781935,8.207320846,7.163202357,6.635468164
"2005",5.83565278351307,7.149292659,7.855100699,7.211522945,6.582976808
"2006",5.60161111818419,6.966303026,8.155069019,7.202238022,6.499026343
"2007",5.35111112362809,6.992096009,7.918507101,7.210934925,6.579201595
"2008",5.07365278601646,6.987849729,7.975983784,7.170251063,6.572832351
"2009",5.25015278624164,7.227518889,8.025903895,7.257818894,6.572674848
"2010",5.43519444962342,7.145943421,8.059717287,7.268313243,6.499589493
"2011",5.41647223101722,7.127438364,7.821387244,6.968475103,6.436027247
"2012",5.35418056150277,7.110160422,8.348445363,7.203747307,6.730501831
