Year ,SSB.16.1b,TRBT.Age-0.R.16.1b,Apical F ,Exploitation rate ,1-SPR ,SSB.16.1c,TRBT.Age-0.R.16.1c,Apical F ,Exploitation rate ,1-SPR 
1960,112590,46073,0.18,0.12,0.86,119206,7320,0.11,0.1,0.78
1961,108290,82675,0.33,0.2,0.96,121116,71729,0.18,0.16,0.9
1962,96145,185807,0.43,0.24,0.98,111020,127112,0.22,0.19,0.93
1963,80722,437867,0.28,0.17,0.95,96239,264792,0.14,0.12,0.85
1964,71913,484027,0.32,0.19,0.96,88619,415344,0.16,0.15,0.88
1965,62866,204888,0.07,0.05,0.55,78333,224937,0.04,0.04,0.51
1966,61185,85070,0.06,0.05,0.48,76508,107820,0.04,0.05,0.51
1967,61320,44596,0.07,0.06,0.53,75095,61898,0.06,0.06,0.6
1968,65661,29672,0.07,0.07,0.55,76229,7024,0.07,0.07,0.64
1969,80552,24010,0.06,0.05,0.48,85524,6028,0.06,0.06,0.58
1970,114004,23147,0.04,0.03,0.34,110114,37901,0.04,0.04,0.44
1971,169079,26270,0.07,0.06,0.55,154155,41465,0.07,0.07,0.65
1972,230742,35638,0.13,0.11,0.76,203995,49218,0.12,0.12,0.82
1973,276896,59529,0.12,0.09,0.72,238840,66899,0.11,0.1,0.78
1974,310753,119004,0.16,0.11,0.82,264402,15496,0.14,0.13,0.85
1975,320669,209981,0.15,0.11,0.81,266150,347969,0.13,0.12,0.83
1976,318037,147543,0.16,0.11,0.83,257121,40070,0.13,0.12,0.84
1977,305274,93480,0.09,0.05,0.61,239795,22005,0.07,0.06,0.64
1978,299082,49205,0.12,0.08,0.73,233383,115901,0.11,0.09,0.73
1979,283743,17637,0.12,0.08,0.72,218758,10160,0.11,0.09,0.73
1980,268767,6022,0.16,0.1,0.8,205235,3446,0.14,0.11,0.8
1981,253156,1025,0.18,0.11,0.83,190758,502,0.16,0.12,0.83
1982,240818,1999,0.16,0.11,0.83,180770,1510,0.12,0.12,0.82
1983,235087,3289,0.16,0.1,0.83,177771,2697,0.12,0.11,0.82
1984,229943,6185,0.09,0.05,0.62,175254,5044,0.06,0.06,0.62
1985,231106,20233,0.06,0.04,0.49,180883,20907,0.04,0.04,0.49
1986,231958,5317,0.04,0.03,0.38,187079,4235,0.03,0.03,0.38
1987,230712,5756,0.04,0.03,0.4,191386,5318,0.03,0.03,0.38
1988,225476,5897,0.04,0.02,0.33,191097,5084,0.02,0.02,0.31
1989,217913,15803,0.06,0.03,0.31,187965,15590,0.06,0.03,0.3
1990,205200,3848,0.11,0.04,0.45,180093,3507,0.1,0.04,0.43
1991,188389,1131,0.07,0.03,0.35,167488,999,0.07,0.03,0.33
1992,174737,743,0.03,0.01,0.18,157157,688,0.03,0.01,0.18
1993,164111,606,0.08,0.03,0.35,149116,422,0.08,0.03,0.36
1994,149741,954,0.12,0.04,0.49,137064,1584,0.12,0.05,0.48
1995,135437,3771,0.11,0.04,0.44,124816,3498,0.11,0.04,0.44
1996,123184,1612,0.09,0.03,0.38,114189,1459,0.09,0.03,0.38
1997,112523,1641,0.1,0.04,0.42,104803,1622,0.11,0.04,0.43
1998,101654,2145,0.14,0.05,0.5,94965,1492,0.15,0.06,0.51
1999,89840,8332,0.11,0.04,0.44,84030,10402,0.11,0.04,0.44
2000,80737,9648,0.14,0.05,0.51,75679,7565,0.15,0.06,0.52
2001,70885,11358,0.13,0.05,0.49,66486,11704,0.13,0.05,0.5
2002,62832,1677,0.1,0.04,0.41,59007,1472,0.1,0.04,0.42
2003,56300,614,0.09,0.03,0.4,52939,536,0.1,0.03,0.41
2004,50604,547,0.08,0.03,0.35,47592,505,0.08,0.03,0.35
2005,46087,801,0.1,0.03,0.41,43495,667,0.1,0.03,0.42
2006,41981,7292,0.07,0.03,0.34,39618,7050,0.08,0.03,0.35
2007,39276,22137,0.08,0.03,0.36,37122,20314,0.09,0.03,0.37
2008,37470,48122,0.12,0.04,0.47,35546,48202,0.12,0.04,0.48
2009,36147,33061,0.18,0.07,0.61,34395,32086,0.18,0.07,0.61
2010,33936,6103,0.18,0.06,0.6,32362,6126,0.19,0.07,0.61
2011,31325,4003,0.18,0.06,0.59,29898,2771,0.18,0.06,0.6
2012,28784,1904,0.24,0.07,0.69,27462,2632,0.25,0.07,0.69
2013,26342,2430,0.09,0.02,0.39,25057,1843,0.09,0.02,0.4
2014,27404,2063,0.07,0.02,0.34,26024,1614,0.08,0.02,0.35
2015,31312,2458,0.08,0.02,0.36,29750,2045,0.08,0.02,0.37
2016,37430,2168,0.06,0.02,0.3,35664,1665,0.07,0.02,0.31
2017,44447,3182,0.06,0.03,0.29,42521,2253,0.06,0.03,0.3
2018,50465,6041,0.07,0.03,0.33,48435,3925,0.07,0.04,0.34
