"year","NPI.ndjfm"
1951,1012.51830764052
1952,1011.46183323788
1953,1008.07771647723
1954,1010.12970808949
1955,1011.42575236176
1956,1013.0200540026
1957,1011.01130061146
1958,1008.39406495248
1959,1010.81804070837
1960,1009.61771255105
1961,1007.55909497905
1962,1011.3692503205
1963,1008.36080519466
1964,1009.44001353514
1965,1010.54982831663
1966,1011.49388985768
1967,1011.16479611996
1968,1009.49131101867
1969,1011.15286528089
1970,1006.37629622101
1971,1012.31263761644
1972,1012.72048091714
1973,1010.20730804829
1974,1009.67459971237
1975,1010.38972378322
1976,1010.47613684087
1977,1006.44640599689
1978,1007.15399260792
1979,1010.86495050269
1980,1008.27497061321
1981,1005.15975045194
1982,1011.13420812917
1983,1004.09629383993
1984,1007.0713830537
1985,1010.4592587095
1986,1005.74116592499
1987,1006.68224281805
1988,1008.81136695185
1989,1012.38608175337
1990,1011.34695019432
1991,1011.69479789593
1992,1007.04579196318
1993,1009.11417208926
1994,1010.86918199675
1995,1009.28595620344
1996,1008.53637355079
1997,1009.17276902291
1998,1005.9759994645
1999,1009.85568345696
2000,1008.75136123022
2001,1007.30692443025
2002,1009.69538294304
2003,1005.96573664592
2004,1009.10111486838
2005,1008.65262117417
2006,1010.78347069049
2007,1010.54678523474
2008,1009.69214322305
2009,1013.94115761642
2010,1007.22648283524
2011,1011.97625876375
2012,1010.88928338444
2013,1011.46087019525
2014,1011.23076986757
2015,1008.8081626748
2016,1006.92670207904
2017,1010.77391087484
2018,1013.3411084393
2019,1009.83612641915
