year,YLFN.R.age1.18.1a,LCI,HCI,YLFN.R.age1.18.2,LCI,HCI
1954,1.95,1.358,2.542,2.301,1.598,3.005
1955,1.389,0.686,2.092,1.613,0.775,2.451
1956,0.951,0.53,1.372,1.067,0.564,1.569
1957,3.225,2.518,3.932,3.507,2.677,4.336
1958,2.35,1.979,2.722,2.528,2.129,2.928
1959,1.811,1.551,2.071,1.946,1.667,2.225
1960,1.713,1.474,1.953,1.842,1.585,2.1
1961,0.992,0.811,1.173,1.067,0.872,1.263
1962,1.887,1.641,2.133,2.039,1.769,2.31
1963,0.994,0.808,1.18,1.048,0.851,1.245
1964,0.92,0.746,1.095,0.956,0.771,1.14
1965,1.191,0.987,1.395,1.279,1.059,1.5
1966,1.214,0.995,1.433,1.359,1.111,1.608
1967,2.547,2.203,2.892,2.878,2.471,3.285
1968,3.892,3.445,4.34,4.484,3.943,5.025
1969,3.985,3.522,4.447,4.633,4.073,5.193
1970,5.254,4.716,5.792,6.121,5.462,6.781
1971,5.84,5.276,6.404,6.807,6.111,7.503
1972,4.592,4.107,5.078,5.35,4.756,5.944
1973,3.181,2.795,3.568,3.702,3.235,4.169
1974,4.279,3.838,4.72,4.969,4.431,5.508
1975,5.027,4.556,5.497,5.824,5.245,6.403
1976,3.306,2.937,3.676,3.82,3.375,4.265
1977,4.163,3.744,4.582,4.8,4.291,5.308
1978,2.727,2.398,3.055,3.141,2.748,3.533
1979,1.742,1.485,1.999,2.009,1.705,2.312
1980,3.372,3.009,3.735,3.9,3.459,4.341
1981,2.515,2.207,2.824,2.926,2.552,3.299
1982,7.29,6.713,7.867,8.507,7.768,9.246
1983,1.349,1.128,1.571,1.575,1.31,1.839
1984,6.037,5.527,6.547,7.039,6.394,7.685
1985,2.088,1.814,2.362,2.435,2.104,2.766
1986,1.604,1.369,1.838,1.868,1.587,2.149
1987,2.192,1.918,2.465,2.55,2.219,2.881
1988,3.005,2.679,3.331,3.497,3.097,3.897
1989,3.007,2.681,3.332,3.5,3.1,3.899
1990,1.503,1.283,1.723,1.75,1.486,2.014
1991,1.691,1.454,1.927,1.973,1.688,2.258
1992,3.755,3.374,4.136,4.392,3.918,4.865
1993,2.241,1.96,2.523,2.625,2.281,2.969
1994,1.892,1.635,2.149,2.214,1.902,2.525
1995,1.904,1.646,2.163,2.224,1.911,2.536
1996,4.697,4.253,5.14,5.473,4.92,6.027
1997,2.029,1.762,2.297,2.36,2.038,2.682
1998,1.684,1.445,1.923,1.953,1.667,2.238
1999,2.063,1.799,2.328,2.382,2.066,2.699
2000,2.891,2.569,3.212,3.332,2.943,3.72
2001,1.871,1.619,2.124,2.158,1.857,2.459
2002,2.536,2.229,2.844,2.926,2.556,3.296
2003,2.446,2.139,2.752,2.822,2.454,3.191
2004,3.813,3.398,4.228,4.403,3.897,4.91
2005,1.688,1.428,1.948,1.953,1.643,2.262
2006,1.929,1.632,2.226,2.234,1.88,2.588
2007,2.399,2.037,2.76,2.777,2.346,3.209
2008,2.224,1.858,2.59,2.574,2.14,3.008
2009,2.594,2.16,3.029,3.003,2.487,3.519
2010,3.698,3.08,4.317,4.28,3.547,5.013
2011,1.26,0.918,1.603,1.458,1.058,1.857
2012,0.671,0.402,0.94,0.776,0.464,1.088
2013,1.756,1.182,2.329,2.034,1.365,2.703
2014,2.643,1.627,3.659,3.075,1.887,4.263
2015,3.92,1.896,5.944,4.538,2.187,6.889
2016,3.027,0.084,5.969,3.465,0.101,6.829
2017,2.134,-0.645,4.913,2.437,-0.732,5.607
2018,2.334,-0.902,5.571,2.672,-1.031,6.375
2019,2.356,-0.937,5.65,2.699,-1.075,6.473
